source_file,section,no,npd,description,ident,qty,iso,area,flag
6820-R2-61007-01_NOHD-SS02_0.pdf,OTHER THAN SHOP MATERIALS,6,10,PS401-4-28-2,PS401,1.0,6820-R2-61007-01,6820,
6820-R2-61007-01_NOHD-SS02_0.pdf,OTHER THAN SHOP MATERIALS,7,10,PS204-10,PS204,1.0,6820-R2-61007-01,6820,
6820-R2-61019-01_NOHD-SS01_1..pdf,PIPE SUPPORTS,5,8,PS206-8-1,PS206,1.0,6820-R2-61019-01,6820,
6820-R2-61019-02_NOHD-SS01_1.pdf,PIPE SUPPORTS,7,8,PS204-8,PS204,1.0,6820-R2-61019-02,6820,
6820-R2-61019-02_NOHD-SS01_1.pdf,PIPE SUPPORTS,8,8,PS219-3-4-4,PS219,1.0,6820-R2-61019-02,6820,
6820-R2-61021-01_EPCL-SS01_0..pdf,OTHER THAN SHOP MATERIALS,5,3/4,"SBlt 2 HHx N, A193 Gr.B7/A194 Gr.2H, -, Xylan PTFE Coated, - 7.25 in. Length",C6S4K8BR,8.0,6820-R2-61021-01,6820,
6820-R2-61021-01_EPCL-SS01_0..pdf,PIPE SUPPORTS,6,8,PS433-8,PS433,1.0,6820-R2-61021-01,6820,
6820-R2-61021-01_EPCL-SS01_0..pdf,PIPE SUPPORTS,7,8,PS406-2-54.76-48-16,PS406,1.0,6820-R2-61021-01,6820,
6820-R2-61029-01_WWXL-FP01_1..pdf,OTHER THAN SHOP MATERIALS,5,10,"NM Flat Gk, EPDM, 150 Lbs, FF as per ASME B16.5, Full Face, Thk=1/8in, -,",C7V61SDZ,1.0,6820-R2-61029-01,6820,
6820-R2-61029-01_WWXL-FP01_1..pdf,OTHER THAN SHOP MATERIALS,6,7/8,"SBlt 2 HHx N&2W, A193 Gr.B7/A194",C9PNU7FL,12.0,6820-R2-61029-01,6820,
6820-R2-61029-01_WWXL-FP01_1..pdf,PIPE SUPPORTS,8,10,PS-NM122-10-5-WWXL-FP01,PS-NM122,1.0,6820-R2-61029-01,6820,
6820-R2-61029-01_WWXL-FP01_1..pdf,PIPE SUPPORTS,9,10,PS406-2-19.2-20-10,PS406,1.0,6820-R2-61029-01,6820,
6820-R2-61029-01_WWXL-FP01_1..pdf,PIPE SUPPORTS,10,10,PS-NM130-10-WWXL-FP01,PS-NM130,1.0,6820-R2-61029-01,6820,
