ident,npd,total_qty,iso_count,rows
C12GGPSR,3/4,4.0,4,4
C145308,2,103.3,8,8
C15RCMLV,1,1.0,1,1
C1DMWEC,1,4.0,3,3
C1DMWEF,2,5.0,4,4
C1DMWEJ,3/4,2.0,2,2
C1DMWEK,1,101.0,37,37
C1DMWEN,2,50.0,18,18
C1DR2JM,1,40.0,27,27
C1DR2JR,2,23.0,15,17
C1DR2JV,1,20.0,20,20
C1DR2JY,2,12.0,10,12
C1JW6P1S,2,2.0,2,2
C1NJUHLW,1/2,5.0,5,5
C1NJUHLY,1,4.0,3,4
C2KV10B,1/2,1.0,1,1
C2KV10X,3/4,4.0,4,4
C2KV11G,1,7.0,6,6
C41B2D94,1,14.0,14,14
C56BEZYW,2,2.0,1,1
C56FCLX2,2,15.0,9,9
C58PVZ7V,2,1.0,1,1
C5FX5BU,1/2,8.0,4,4
C5PKSACZ,2,3.0,3,3
C5PKSAD1,2,37.0,11,11
C66PJZHA,2,2.0,2,2
C6S4K87C,4,3.0,2,3
C6S4K87E,6,4.0,4,4
C6S4K87F,1,152.0,67,72
C6S4K87J,2,51.0,16,16
C6S4K87L,3,57.0,18,18
C6S4K87N,4,15.0,8,8
C6S4K87R,6,26.0,16,17
C6S4K87S,1/2,4.0,1,1
C6S4K87T,1/2,112.0,12,12
C6S4K87U,1/2,1684.0,187,195
C6S4K87V,1/2,452.0,60,61
C6S4K87Y,1/2,12.0,3,3
C6S4K884,1/2,8.0,2,2
C6S4K88N,5/8,168.0,28,28
C6S4K88P,5/8,92.0,11,11
C6S4K88R,5/8,496.0,60,62
C6S4K88S,5/8,496.0,54,54
C6S4K88T,5/8,96.0,8,8
C6S4K88Z,5/8,8.0,2,2
C6S4K890,5/8,24.0,4,4
C6S4K891,5/8,64.0,16,16
C6S4K894,5/8,20.0,5,5
C6S4K8B9,3/4,60.0,10,10
C6S4K8BB,3/4,56.0,6,7
C6S4K8BC,3/4,392.0,33,34
C6S4K8BD,3/4,488.0,41,44
C6S4K8BE,3/4,448.0,33,36
C6S4K8BF,3/4,620.0,34,36
C6S4K8BG,3/4,8.0,1,1
C6S4K8BJ,3/4,4.0,1,1
C6S4K8BM,3/4,16.0,2,2
C6S4K8BR,3/4,72.0,9,9
C6S4K8C8,7/8,12.0,1,1
C6S4K8CS,7/8,24.0,2,2
C6S4K8CT,7/8,60.0,4,4
C6S4K8CU,7/8,180.0,11,11
C6S4K8CV,7/8,24.0,2,2
C6S4K8CX,7/8,72.0,4,4
C6S4K8D6,7/8,12.0,1,1
C6S4K8EA,1,68.0,5,5
C6S4K8EN,1,12.0,1,1
C6SBR422,1/2,3.0,5,5
C6SBR43V,1,264.2,26,26
C6SBWZET,10,14.0,8,8
C6SBWZEU,12,2.0,2,2
C6SBWZEW,16,1.0,1,1
C6SBWZEZ,20,1.0,1,1
C6SBWZF1,24,1.0,1,1
C6SBWZF4,8,87.0,44,49
C6SDEV3P,8,2.0,2,2
C6SDEV8M,2,32.0,1,1
C6SDVYKS,10,1.0,1,1
C6SDVYKW,4,2.0,2,2
C6SDVYKY,8,7.0,6,7
C6SDVYKZ,2,14.0,11,11
C6SDVYL1,3,8.0,8,8
C6SEUHBR,1/2,3.0,3,3
C6SWL10L,8,3.0,3,3
C6SWL10P,2,3.0,3,3
C6TYYMRF,1/2,3.0,3,3
C766B01H,2,2.0,2,2
C76KFFSD,3/4,78.5,8,8
C76KFFTD,1,1074.3,60,61
C76KFFWK,2,364.7,16,16
C76KHSRG,8,5.0,5,5
C76KHSRH,1,14.0,7,7
C76KHSRP,3/4,2.0,2,2
C76KHSRR,1,91.0,77,79
C76KHSRZ,1,52.0,24,24
C76KHSS3,2,14.0,8,8
C76KHSS5,3,20.0,8,8
C76KHSS7,4,16.0,10,10
C76KHSS9,6,7.0,3,3
C76KHVWS,1/2,21.0,16,16
C76KHVWU,1,4.0,3,4
C76KHVWW,2,6.0,6,6
C76KHZKZ,2,2.0,2,2
C76KJLEL,6,2.0,2,2
C76KJLFC,4,2.0,2,2
C76KJLFJ,14,1.0,1,1
C76KJLFK,16,1.0,1,1
C76N9VBG,1,21.0,7,7
