iso,ident,npd,total_qty
6820-R2-61007-01,PS204,10,1.0
6820-R2-61007-01,PS401,10,1.0
6820-R2-61019-01,PS206,8,1.0
6820-R2-61019-02,PS204,8,1.0
6820-R2-61019-02,PS219,8,1.0
6820-R2-61021-01,C6S4K8BR,3/4,8.0
6820-R2-61021-01,PS406,8,1.0
6820-R2-61021-01,PS433,8,1.0
6820-R2-61029-01,C7V61SDZ,10,1.0
6820-R2-61029-01,C9PNU7FL,7/8,12.0
6820-R2-61029-01,PS-NM122,10,1.0
6820-R2-61029-01,PS-NM130,10,1.0
6820-R2-61029-01,PS406,10,1.0
6820-R2-61029-01,PS435,10,1.0
6820-R2-61029-02,C6SWL10L,8,1.0
6820-R2-61029-02,C6SWL10P,2,1.0
6820-R2-61029-02,C7CT0CGV,5/8,8.0
6820-R2-61029-02,C7CT0CKJ,3/4,8.0
6820-R2-61029-02,C7V61SE4,2,2.0
6820-R2-61029-02,C7V61SEE,8,3.0
6820-R2-61029-02,C9PNU7C2,3/4,8.0
6820-R2-61029-02,C9PNU7E1,3/4,8.0
6820-R2-61029-02,PS-NM102,8,1.0
6820-R2-61029-02,PS-NM104,8,1.0
6820-R2-61029-02,PS-NM110,10,1.0
6820-R2-61029-02,PS407,10,1.0
6820-R2-61029-02,PS412,8,1.0
6820-R2-61029-03,C6SWL10L,8,1.0
6820-R2-61029-03,C6SWL10P,2,1.0
6820-R2-61029-03,C7CT0CGV,5/8,8.0
6820-R2-61029-03,C7CT0CKJ,3/4,8.0
6820-R2-61029-03,C7V61SE4,2,2.0
6820-R2-61029-03,C7V61SEE,8,3.0
6820-R2-61029-03,C9PNU7C2,3/4,8.0
6820-R2-61029-03,C9PNU7E1,3/4,8.0
6820-R2-61029-03,PS-NM104,8,1.0
6820-R2-61029-03,PS412,8,1.0
6820-R2-61060-01,C6SWL10L,8,1.0
6820-R2-61060-01,C6SWL10P,2,1.0
6820-R2-61060-01,C7CT0CGV,5/8,8.0
6820-R2-61060-01,C7CT0CKJ,3/4,8.0
6820-R2-61060-01,C7V61SE4,2,2.0
6820-R2-61060-01,C7V61SEE,8,3.0
6820-R2-61060-01,C9PNU7E1,3/4,16.0
6820-R2-61060-01,PS-NM104,8,1.0
6820-R2-61060-01,PS-NM107,8,1.0
6820-R2-61060-01,PS407,8,2.0
6820-R2-67001-01,C6S4K8BD,3/4,8.0
6820-R2-67001-01,C6S4K8BE,3/4,8.0
6820-R2-67001-01,C6SBWZF4,8,2.0
6820-R2-67001-01,C8P7NJK0,8,1.0
6820-R2-67001-01,PS406,8,1.0
6820-R2-67001-01,PS413,8,1.0
6820-R2-67001-01,PS430,8,2.0
6820-R2-67001-01,PS902,8,1.0
6820-R2-67001-02,C6S4K87F,1,2.0
6820-R2-67001-02,C6S4K87U,1/2,8.0
6820-R2-67001-02,C7T63YAU,1,1.0
6820-R2-67001-02,C8RR9V37,1,1.0
6820-R2-67001-02,PS206,8,1.0
6820-R2-67001-02,PS406,8,1.0
6820-R2-67001-03,C6S4K8BD,3/4,16.0
6820-R2-67001-03,C6SBWZF4,8,2.0
6820-R2-67001-03,PS412,8,1.0
6820-R2-67001-04,C6S4K87F,1,2.0
6820-R2-67001-04,C6S4K87U,1/2,8.0
6820-R2-67001-04,C7T63YAU,1,1.0
6820-R2-67001-04,C8RR9V37,1,1.0
6820-R2-67001-04,PS204,8,1.0
6820-R2-67001-04,PS206,8,1.0
6820-R2-67001-04,PS406,8,1.0
6820-R2-67001-05,C6S4K8BE,3/4,16.0
6820-R2-67001-05,C6SBWZF4,8,2.0
6820-R2-67001-05,C8P7NJK0,8,1.0
6820-R2-67001-06,C6S4K8BG,3/4,8.0
6820-R2-67001-06,C6SBWZF4,8,2.0
6820-R2-67006-01,PS209,4,1.0
