source_file,section,no,npd,description,ident,qty,iso,area,flag
6820-R2-61029-01_WWXL-FP01_1..pdf,OTHER THAN SHOP MATERIALS,1,,"Gr.2H, -, Extra 1 Hex nut & 2 Lock Wsh, - 9.25 in. Length",,0.0,6820-R2-61029-01,6820,bad_qty
6820-R2-61029-01_WWXL-FP01_1..pdf,OTHER THAN SHOP MATERIALS,7,10,14-FO-68989 14-FO-68989,,1.0,6820-R2-61029-01,6820,bad_ident
6820-R2-61029-02_WWXL-FP01_1..pdf,OTHER THAN SHOP MATERIALS,648,10,"NM Flat Gk, EPDM, 150 Lbs, FF as per ASME B16.5, Full Face, Thk=1/8in, -,",C7V61SDZ,1.0,6820-R2-61029-02,6820,bad_no
6820-R2-61029-02_WWXL-FP01_1..pdf,OTHER THAN SHOP MATERIALS,1,,"Lock Wsh, - 7.5 in. Length",,0.0,6820-R2-61029-02,6820,bad_qty
6820-R2-61029-03_WWXL-FP01_1..pdf,OTHER THAN SHOP MATERIALS,1,,"Lock Wsh, - 7.5 in. Length",,0.0,6820-R2-61029-03,6820,bad_qty
6820-R2-61060-01_WWXL-FP01_1..pdf,PIPE SUPPORTS,1,,,,0.0,6820-R2-61060-01,6820,bad_qty
6820-R2-67001-03_NOHD-NI01_1..pdf,OTHER THAN SHOP MATERIALS,9,8,14-LV-68250 14-LV-68250,,1.0,6820-R2-67001-03,6820,bad_ident
6820-R2-67001-03_NOHD-NI01_1..pdf,PIPE SUPPORTS,1,,,,0.0,6820-R2-67001-03,6820,bad_qty
6820-R2-67001-06_NOHD-NI01_0..pdf,OTHER THAN SHOP MATERIALS,6,8,14-FO-68109 14-FO-68109,,1.0,6820-R2-67001-06,6820,bad_ident
6820-R2-67006-01_NOHD-SS03_1..pdf,OTHER THAN SHOP MATERIALS,1,PIPE,SUPPORTS,,0.0,6820-R2-67006-01,6820,bad_qty
6820-R2-67006-02_NOHD-SS03_1..pdf,PIPE SUPPORTS,1,,,,0.0,6820-R2-67006-02,6820,bad_qty
6820-R2-67006-02_NOHD-SS03_1..pdf,PIPE SUPPORTS,666,444,PPPSSS222000111---444 PPPSSS222000111,,111.0,6820-R2-67006-02,6820,bad_no
6820-R2-67008-03_EPCW-CS01_1..pdf,OTHER THAN SHOP MATERIALS,7,1.1/2,"Pipes, Seamless, ASME B36.10, ASTM ' A106 Gr.B, NPTM Ends, w/ coupling, -, S-XS",CEZCLVN,0.4,6820-R2-67008-03,6820,npd_suspicious
6820-R2-67008-03_EPCW-CS01_1..pdf,OTHER THAN SHOP MATERIALS,8,1.1/2,"THD Flg, ASME B16.5, ASTM A105N, 150 Lbs, RF/NPTF End, -,",CFG8U740,1.0,6820-R2-67008-03,6820,npd_suspicious
6820-R2-67008-03_EPCW-CS01_1..pdf,OTHER THAN SHOP MATERIALS,10,1.1/2,"NM Flat Gk, Barium Sulfate filled PTFE, 150 Lbs, RF as per ASME B16.5, Full Face, Thk=1/8in, -,",C7CT1ZFK,1.0,6820-R2-67008-03,6820,npd_suspicious
6820-R2-67008-03_EPCW-CS01_1..pdf,OTHER THAN SHOP MATERIALS,14,1.1/2,14-TI-68419 14-TI-68419,,1.0,6820-R2-67008-03,6820,bad_ident
6820-R2-67018-02_SCXL-CS02_0..pdf,OTHER THAN SHOP MATERIALS,9,1.1/2,"NM Flat Gk, Barium Sulfate filled PTFE, 300 Lbs, RF as per ASME B16.5, Full Face, Thk=1/8in, -,",C7W3AL3N,2.0,6820-R2-67018-02,6820,npd_suspicious
6820-R2-67018-02_SCXL-CS02_0..pdf,OTHER THAN SHOP MATERIALS,12,1.1/2,"Gat Flg, -, API 602, ASTM A105N,300 Lbs, RF, Ends as per ASME B16.5, HO,-, Valve Tag: GA-1127",C99ZZ9DG,1.0,6820-R2-67018-02,6820,npd_suspicious
6820-R2-67018-02_SCXL-CS02_0..pdf,OTHER THAN SHOP MATERIALS,14,1.1/2,14-PI-68759 14-PI-68759,,1.0,6820-R2-67018-02,6820,bad_ident
6820-R2-67018-03_SCXL-CS02_0..pdf,PIPE SUPPORTS,3304,,,,0.0,6820-R2-67018-03,6820,bad_no
6820-R2-67020-02_NOHD-NI03_1..pdf,OTHER THAN SHOP MATERIALS,7,6,SP-6809 SP-6809,,1.0,6820-R2-67020-02,6820,bad_ident
6820-R2-67020-02_NOHD-NI03_1..pdf,PIPE SUPPORTS,1,,,,0.0,6820-R2-67020-02,6820,bad_qty
6820-R2-67021-05_NOHD-NI03_1..pdf,OTHER THAN SHOP MATERIALS,8,2,14-PI-68789 14-PI-68789,,1.0,6820-R2-67021-05,6820,bad_ident
6820-R2-67022-12_NOHD-NI03_1..pdf,OTHER THAN SHOP MATERIALS,8,2,14-PI-68779 14-PI-68779,,1.0,6820-R2-67022-12,6820,bad_ident
6820-R2-67024-01_NOHD-NI01_0..pdf,OTHER THAN SHOP MATERIALS,7,6X1,SP-6876 SP-6876,,1.0,6820-R2-67024-01,6820,bad_ident
6820-R2-67024-01_NOHD-NI01_0..pdf,OTHER THAN SHOP MATERIALS,11,1.1/4,"SBlt 2 HHx N, A193 Gr.B7/A194 Gr.2H, -, Xylan PTFE Coated, - 7.25 in. Length",C6S4K8J2,20.0,6820-R2-67024-01,6820,npd_suspicious
6820-R2-67040-03_NOHD-NI01_1..pdf,OTHER THAN SHOP MATERIALS,11,1.1/2,"NM Flat Gk, Barium Sulfate filled PTFE, 150 Lbs, RF as per ASME B16.5, -, Thk=1/8in, -,",C6S4K87H,1.0,6820-R2-67040-03,6820,npd_suspicious
6820-R2-67040-03_NOHD-NI01_1..pdf,OTHER THAN SHOP MATERIALS,13,1.1/2,14-TI-68429 14-TI-68429,,1.0,6820-R2-67040-03,6820,bad_ident
6820-R2-67040-06_NOHD-NI01_0..pdf,OTHER THAN SHOP MATERIALS,14,8,14-LV-68240 14-LV-68240,,1.0,6820-R2-67040-06,6820,bad_ident
6820-R2-67040-10_NOHD-NI01_0..pdf,OTHER THAN SHOP MATERIALS,4,1.1/2,"NM Flat Gk, Barium Sulfate filled PTFE, 150 Lbs, RF as per ASME B16.5, -, Thk=1/8in, -,",C6S4K87H,1.0,6820-R2-67040-10,6820,npd_suspicious
6820-R2-67040-10_NOHD-NI01_0..pdf,OTHER THAN SHOP MATERIALS,6,1.1/2,14-TE-68431 14-TE-68431,,1.0,6820-R2-67040-10,6820,bad_ident
6820-R2-67044-01_SCXL-CS02_1..pdf,OTHER THAN SHOP MATERIALS,13,1.1/2,"NM Flat Gk, Barium Sulfate filled PTFE, 300 Lbs, RF as per ASME B16.5, Full Face, Thk=1/8in, -,",C7W3AL3N,1.0,6820-R2-67044-01,6820,npd_suspicious
6820-R2-67044-01_SCXL-CS02_1..pdf,OTHER THAN SHOP MATERIALS,17,1.1/2,14-TI-68439 14-TI-68439,,1.0,6820-R2-67044-01,6820,bad_ident
6820-R2-67044-02_SCXL-CS02_1..pdf,PIPE SUPPORTS,1,,,,0.0,6820-R2-67044-02,6820,bad_qty
6820-R2-67044-05_SCXL-CS02_1..pdf,OTHER THAN SHOP MATERIALS,12,1.1/2,"NM Flat Gk, Barium Sulfate filled PTFE, 300 Lbs, RF as per ASME B16.5, Full Face, Thk=1/8in, -,",C7W3AL3N,1.0,6820-R2-67044-05,6820,npd_suspicious
6820-R2-67044-05_SCXL-CS02_1..pdf,OTHER THAN SHOP MATERIALS,17,1.1/2,14-TE-68480 14-TE-68480,,1.0,6820-R2-67044-05,6820,bad_ident
6820-R2-67047-01_NOHD-NI01_2.pdf,OTHER THAN SHOP MATERIALS,150,,,,0.0,6820-R2-67047-01,6820,bad_qty
6820-R2-67047-02_NOHD-NI01_1.pdf,PIPE SUPPORTS,1,,,,0.0,6820-R2-67047-02,6820,bad_qty
6820-R2-67054-01_NOHD-SS03_1.pdf,OTHER THAN SHOP MATERIALS,1,,,,0.0,6820-R2-67054-01,6820,bad_qty
6820-R2-67054-02_NOHD-SS03_1.pdf,PIPE SUPPORTS,1,,,,0.0,6820-R2-67054-02,6820,bad_qty
6820-R2-67054-02_NOHD-SS03_1.pdf,PIPE SUPPORTS,666,444,PPPSSS222000111---444 PPPSSS222000111,,111.0,6820-R2-67054-02,6820,bad_no
6820-R2-67055-02_EPCL-SS01_1..pdf,OTHER THAN SHOP MATERIALS,13,6,14-FO-68149 14-FO-68149,,1.0,6820-R2-67055-02,6820,bad_ident
6820-R2-67056-04_EPCW-CS01_0..pdf,OTHER THAN SHOP MATERIALS,16,,GL-0627 SUPPORTS,,0.0,6820-R2-67056-04,6820,bad_qty
6820-R2-67065-05_NOHD-NI01_1..pdf,OTHER THAN SHOP MATERIALS,11,1.1/2,"NM Flat Gk, Barium Sulfate filled PTFE, 150 Lbs, RF as per ASME B16.5, -, Thk=1/8in, -,",C6S4K87H,1.0,6820-R2-67065-05,6820,npd_suspicious
