source_pdf,source_path,page_number,section,category,item_no,qty,tag_no,size,description,material,commodity_code,remarks,raw_text,bbox,confidence,warnings
6810-R2-51071-02_NOHD-SS02_0..pdf,6810 copy/6810-R2-51071-02_NOHD-SS02_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,8,1,13-PIT-53311,2,13-PIT-53311,,13-PIT-53311,,8 2 13-PIT-53311 13-PIT-53311 1,"[878.16, 361.129, 1183.065, 368.224]",1.0,
6810-R2-51071-04_NOHD-SS02_1.pdf,6810 copy/6810-R2-51071-04_NOHD-SS02_1.pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,16,1,13-FO-53311,10,13-FO-53311,,13-FO-53311,,16 10 13-FO-53311 13-FO-53311 1,"[878.16, 538.009, 1183.065, 545.104]",1.0,
6810-R2-51071-04_NOHD-SS02_1.pdf,6810 copy/6810-R2-51071-04_NOHD-SS02_1.pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,17,1,13-PV-53311,8,13-PV-53311,,13-PV-53311,,17 8 13-PV-53311 13-PV-53311 1,"[878.16, 546.409, 1183.065, 553.504]",1.0,
6810-R2-61007-07_NOHD-SS02_1..pdf,6810 copy/6810-R2-61007-07_NOHD-SS02_1..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,8,1,14-PI-68319,2,14-PI-68319,,14-PI-68319,,8 2 14-PI-68319 14-PI-68319 1,"[878.16, 352.969, 1183.065, 360.064]",1.0,
6810-R2-61007-11_NOHD-SS02_1..pdf,6810 copy/6810-R2-61007-11_NOHD-SS02_1..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,8,1,14-PI-68329,2,14-PI-68329,,14-PI-68329,,8 2 14-PI-68329 14-PI-68329 1,"[878.16, 352.969, 1183.065, 360.064]",1.0,
6810-R2-61007-16_NOHD-SS02_0..pdf,6810 copy/6810-R2-61007-16_NOHD-SS02_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,6,1,14-TE-68012,1.1/2,14-TE-68012,,14-TE-68012,,6 1.1/2 14-TE-68012 14-TE-68012 1,"[878.16, 287.209, 1183.065, 294.304]",1.0,
6810-R2-61007-19_NOHD-SS02_0..pdf,6810 copy/6810-R2-61007-19_NOHD-SS02_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,6,1,14-TE-68011,1.1/2,14-TE-68011,,14-TE-68011,,6 1.1/2 14-TE-68011 14-TE-68011 1,"[878.16, 287.209, 1183.065, 294.304]",1.0,
6810-R2-61009-01_NOHD-SS02_0..pdf,6810 copy/6810-R2-61009-01_NOHD-SS02_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,9,1,14-FIT-68110,6,14-FIT-68110,,14-FIT-68110,,9 6 14-FIT-68110 14-FIT-68110 1,"[878.16, 349.129, 1183.065, 356.224]",1.0,
6810-R2-61009-01_NOHD-SS02_0..pdf,6810 copy/6810-R2-61009-01_NOHD-SS02_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,10,1,14-FV-68110,6,14-FV-68110,,14-FV-68110,,10 6 14 - FV-68110 14-FV-68110 1,"[878.16, 357.289, 1183.065, 364.384]",1.0,
6810-R2-61025-02_NOHD-SS04_1..pdf,6810 copy/6810-R2-61025-02_NOHD-SS04_1..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,17,1,14-PI-68349,2,14-PI-68349,,14-PI-68349,,17 2 14-PI-68349 14-PI-68349 1,"[878.16, 562.729, 1183.065, 569.824]",1.0,
6810-R2-61025-07_NOHD-SS04_1..pdf,6810 copy/6810-R2-61025-07_NOHD-SS04_1..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,17,1,14-PI-68339,2,14-PI-68339,,14-PI-68339,,17 2 14-PI-68339 14-PI-68339 1,"[878.16, 562.729, 1183.065, 569.824]",1.0,
6810-R2-61025-11_NOHD-SS04_0..pdf,6810 copy/6810-R2-61025-11_NOHD-SS04_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,9,1,14-FE-68120,10,14-FE-68120,,14-FE-68120,,9 10 14-FE-68120 14-FE-68120 1,"[878.16, 365.449, 1183.065, 372.544]",1.0,
6810-R2-61025-16_NOHD-SS04_0..pdf,6810 copy/6810-R2-61025-16_NOHD-SS04_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,12,1,14-PIT-68310A,2,14-PIT-68310A,,14-PIT-68310A,,12 2 14-PIT-68310A 14-PIT-68310A 1,"[878.16, 451.609, 1183.065, 458.704]",1.0,
6810-R2-61025-20_NOHD-SS04_0..pdf,6810 copy/6810-R2-61025-20_NOHD-SS04_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,6,1,14-TE-68022,1.1/2,14-TE-68022,,14-TE-68022,,6 1.1/2 14-TE-68022 14-TE-68022 1,"[878.16, 287.209, 1183.065, 294.304]",1.0,
6810-R2-61025-21_NOHD-SS04_0..pdf,6810 copy/6810-R2-61025-21_NOHD-SS04_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,6,1,14-TE-68021,1.1/2,14-TE-68021,,14-TE-68021,,6 1.1/2 14-TE-68021 14-TE-68021 1,"[878.16, 287.209, 1183.065, 294.304]",1.0,
6810-R2-61027-06_NOHD-SS04_1..pdf,6810 copy/6810-R2-61027-06_NOHD-SS04_1..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,8,1,14-LV-68220,6,14-LV-68220,,14-LV-68220,,8 6 14-LV-68220 14-LV-68220 1,"[878.16, 340.729, 1183.065, 347.824]",1.0,
6810-R2-61027-11_NOHD-SS04_1..pdf,6810 copy/6810-R2-61027-11_NOHD-SS04_1..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,14,1,14-PIT-68310B,2,14-PIT-68310B,,14-PIT-68310B,,14 2 14-PIT-68310B 14-PIT-68310B 1,"[878.16, 501.049, 1183.065, 508.144]",1.0,
6810-R2-61028-02_NOHD-SS04_0..pdf,6810 copy/6810-R2-61028-02_NOHD-SS04_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,12,1,14-FV-68120,3,14-FV-68120,,14-FV-68120,,12 3 14-FV-68120 14-FV-68120 1,"[878.16, 439.369, 1183.065, 446.464]",1.0,
6810-R2-61029-02_WWXL-FP01_0..pdf,6810 copy/6810-R2-61029-02_WWXL-FP01_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,13,1,14-PI-68609,2,14-PI-68609,,14-PI-68609,,13 2 14-PI-68609 14-PI-68609 1,"[878.16, 430.969, 1183.065, 438.064]",1.0,
6810-R2-61029-04_WWXL-FP01_0..pdf,6810 copy/6810-R2-61029-04_WWXL-FP01_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,13,1,14-PI-68619,2,14-PI-68619,,14-PI-68619,,13 2 14-PI-68619 14-PI-68619 1,"[878.16, 430.969, 1183.065, 438.064]",1.0,
6810-R2-61030-01_NOHD-SS04_0..pdf,6810 copy/6810-R2-61030-01_NOHD-SS04_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,12,1,14-FO-68129,2,14-FO-68129,,14-FO-68129,,12 2 14-FO-68129 14-FO-68129 1,"[878.16, 423.049, 1183.065, 430.144]",1.0,
6810-R2-61030-01_NOHD-SS04_0..pdf,6810 copy/6810-R2-61030-01_NOHD-SS04_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,13,1,,2,SP-6080,,SP-6080,,13 2 SP-6080 SP-6080 1,"[878.16, 431.209, 1183.065, 438.304]",0.9,Missing tag number
6810-R2-61034-03_N2XG-XX01_0..pdf,6810 copy/6810-R2-61034-03_N2XG-XX01_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,6,1,14-PCV-68369,1,14-PCV-68369,,14-PCV-68369,,6 1 14-PCV-68369 14-PCV-68369 1,"[878.16, 233.689, 1183.065, 240.784]",1.0,
6810-R2-61034-04_N2XG-XX01_0..pdf,6810 copy/6810-R2-61034-04_N2XG-XX01_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,11,1,14-FI-68139,1,14-FI-68139,,14-FI-68139,,11 1 14-FI-68139 14-FI-68139 1,"[878.16, 381.529, 1183.065, 388.624]",1.0,
6810-R2-61043-01_NOHD-SS02_0..pdf,6810 copy/6810-R2-61043-01_NOHD-SS02_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,5,1,14-LIT-68211,3,14-LIT-68211,,14-LIT-68211,,5 3 14-LIT-68211 14-LIT-68211 1,"[878.16, 208.969, 1183.065, 216.064]",1.0,
6810-R2-61043-02_NOHD-SS02_0..pdf,6810 copy/6810-R2-61043-02_NOHD-SS02_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,5,1,14-LIT-68212,3,14-LIT-68212,,14-LIT-68212,,5 3 14-LIT-68212 14-LIT-68212 1,"[878.16, 208.969, 1183.065, 216.064]",1.0,
6810-R2-61049-03_ARWW-XX01_0..pdf,6810 copy/6810-R2-61049-03_ARWW-XX01_0..pdf,1,OTHER THAN SHOP MATERIALS,INSTRUMENTS,10,1,14-PI-68379,1.1/2,14-PI-68379,,14-PI-68379,,10 1.1/2 14-PI-68379 14-PI-68379 1,"[878.16, 365.209, 1183.065, 372.304]",1.0,
